stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest_x,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome_x,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome_y,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest_y,discontinuedOperations
IVC,2019-12-31,88003000.0,121184000.0,219464000.0,140013000.0,-91334000.0,85000.0,355877000.0,92183000.0,3128000.0,928000.0,218657000.0,80063000.0,4131000.0,-101199000.0,373403000.0,66949000.0,87475000.0,2851000.0,9590000.0,852126000.0,21634000.0,602000.0,308516000.0,543610000.0,312650000.0,26447000.0,,,,-10874000.0,18116000.0,-1278000.0,1474000.0,6466000.0,-1645000.0,-813000.0,24490000.0,2743000.0,-32000.0,-894000.0,-36844000.0,-53327000,-5582000.0,-27941000.0,-24124000.0,-11614000.0,-3603000,,,-53327000.0,-53327000.0,-46109000,665897000,925880000,927964000,9302000,-29076000.0,2084000,2084000,262067000,259983000.0,-53327000,-44025000.0,,,,
IVC,2018-12-31,92469000.0,128644000.0,225733000.0,138476000.0,-48632000.0,90000.0,397410000.0,74306000.0,12793000.0,352000.0,198208000.0,116907000.0,6270000.0,-90640000.0,381273000.0,74965000.0,142447000.0,3221000.0,9421000.0,885855000.0,22750000.0,402000.0,359147000.0,526708000.0,297919000.0,26506000.0,,,,-9823000.0,-6092000.0,-1278000.0,-666000.0,-11497000.0,-1630000.0,-104000.0,15556000.0,-46423000.0,-3911000.0,-2427000.0,-59621000.0,-43922000,-18404000.0,-2924000.0,-1493000.0,-6363000.0,4505000,,,-43922000.0,-43922000.0,-19722000,704671000,986727000,972347000,9820000,-28336000.0,-14380000,-14380000,267676000,282056000.0,-43922000,-34102000.0,,,,
IVC,2017-12-31,90566000.0,121933000.0,241405000.0,143464000.0,-8233000.0,103000.0,456914000.0,80016000.0,36870000.0,518000.0,218064000.0,176528000.0,97473000.0,-64136000.0,401283000.0,183270000.0,187999000.0,4253000.0,9306000.0,1066033000.0,34119000.0,787000.0,423294000.0,642739000.0,290125000.0,30244000.0,,,,-14569000.0,9498000.0,9389000.0,2395000.0,22263000.0,-1604000.0,-448000.0,14631000.0,-25774000.0,4619000.0,-1276000.0,52294000.0,-76541000,-6883000.0,88097000.0,78912000.0,-14648000.0,-2168000,,,-76541000.0,-76541000.0,-38763000,697246000,993984000,966497000,10291000,-22907000.0,-27487000,-27487000,269251000,296738000.0,-76541000,-66250000.0,,,,
IVC,2016-12-31,88236000.0,135644000.0,146088000.0,132707000.0,32762000.0,108000.0,409072000.0,75359000.0,-19335000.0,837000.0,220861000.0,124234000.0,29579000.0,-119065000.0,360602000.0,114407000.0,266144000.0,6446000.0,9157000.0,903743000.0,33800000.0,793000.0,422387000.0,481356000.0,266151000.0,29023000.0,,,,-10151000.0,1247000.0,6251000.0,10210000.0,-9944000.0,-1583000.0,-71000.0,14635000.0,-56613000.0,-1406000.0,-5331000.0,64179000.0,-42856000,-23702000.0,118549000.0,119195000.0,3649000.0,-13648000,,,-42856000.0,-42856000.0,-9208000,763847000,1067823000,1047474000,13299000,-15875000.0,-20349000,-20349000,283627000,303976000.0,-42856000,-29557000.0,,,,
CSLT,2019-12-31,19596000.0,135644000.0,146088000.0,31397000.0,68911000.0,108000.0,95470000.0,18762000.0,-19335000.0,837000.0,54907000.0,43017000.0,24589000.0,-119065000.0,360602000.0,1785000.0,-455042000.0,6446000.0,15000.0,242784000.0,18768000.0,21429000.0,172874000.0,69910000.0,627899000.0,29023000.0,16411000.0,,,-1953000.0,20080000.0,6251000.0,-4581000.0,-9944000.0,-1583000.0,-71000.0,5920000.0,-17392000.0,-1406000.0,-5331000.0,-22988000.0,-40002000,-13619000.0,1201000.0,-1859000.0,-6797000.0,-1200000,3060000.0,-4844000.0,-40002000.0,-40002000.0,1336000,59074000,184646000,143308000,0,-15875000.0,-41338000,-41338000,84234000,66578000.0,-40002000,-40002000.0,58994000.0,,,
CSLT,2018-12-31,9556000.0,135644000.0,146088000.0,26816000.0,86677000.0,108000.0,107828000.0,3963000.0,-19335000.0,837000.0,51178000.0,66005000.0,33729000.0,-119065000.0,360602000.0,4411000.0,-415040000.0,6446000.0,14000.0,253514000.0,35647000.0,30275000.0,194671000.0,58843000.0,609697000.0,29023000.0,11327000.0,,,-2014000.0,20250000.0,6251000.0,-4883000.0,-9944000.0,-1583000.0,-71000.0,6058000.0,-18551000.0,-1406000.0,-5331000.0,4686000.0,-39706000,-15968000.0,4015000.0,-465000.0,19222000.0,-3475000,4480000.0,21236000.0,-39706000.0,-39706000.0,-712000,60189000,195398000,156404000,0,-15875000.0,-38994000,-38994000,96215000,74754000.0,-39706000,-39706000.0,60455000.0,,,
CSLT,2017-12-31,3907000.0,135644000.0,146088000.0,21933000.0,99519000.0,108000.0,119268000.0,5263000.0,-19335000.0,837000.0,57011000.0,61319000.0,43314000.0,-119065000.0,360602000.0,6357000.0,-375334000.0,6446000.0,13000.0,279883000.0,39163000.0,39992000.0,211557000.0,68326000.0,586900000.0,29023000.0,32025000.0,,,-2544000.0,17800000.0,6251000.0,-2799000.0,-9944000.0,-1583000.0,-71000.0,5613000.0,-23457000.0,-1406000.0,-5331000.0,12778000.0,-51902000,-6241000.0,1625000.0,-465000.0,34610000.0,-1179000,2356000.0,39418000.0,-51902000.0,-51902000.0,-1811000,46652000,187317000,132020000,-5206000,-15875000.0,-55297000,-55297000,85368000,86163000.0,-51902000,-57108000.0,54502000.0,,,
CSLT,2016-12-31,2288000.0,135644000.0,146088000.0,14806000.0,101962000.0,108000.0,141010000.0,5285000.0,-19335000.0,837000.0,48723000.0,48722000.0,10871000.0,-119065000.0,360602000.0,6481000.0,-355644000.0,6446000.0,10000.0,157166000.0,36992000.0,5050000.0,101962000.0,55204000.0,457596000.0,29023000.0,65882000.0,,,-1702000.0,21737000.0,6251000.0,-2278000.0,-9944000.0,-1583000.0,-71000.0,2268000.0,-36971000.0,-1406000.0,-5331000.0,29716000.0,-58686000,-13524000.0,20065000.0,-465000.0,46622000.0,3935000,20187000.0,48324000.0,-58686000.0,-58686000.0,-2468000,31866000,154926000,98708000,0,-15875000.0,-56218000,-56218000,66842000,82600000.0,-58686000,-58686000.0,40460000.0,,,
LPX,2019-12-31,112000000.0,265000000.0,347000000.0,164000000.0,941000000.0,10000000.0,619000000.0,1072000000.0,-153000000.0,1000000.0,244000000.0,181000000.0,84000000.0,-559000000.0,30000000.0,206000000.0,966000000.0,6446000.0,130000000.0,1835000000.0,17000000.0,5050000.0,991000000.0,834000000.0,454000000.0,29023000.0,65882000.0,,,-163000000.0,96000000.0,-9000000.0,-21000000.0,3000000.0,-65000000.0,-1000000.0,126000000.0,159000000.0,-2000000.0,-638000000.0,-697000000.0,-5000000,-1000000.0,-717000000.0,-5000000.0,-137000000.0,-4000000,20187000.0,-3000000.0,-5000000.0,-10000000.0,-96000000,2007000000,2237000000,2310000000,-13000000,-19000000.0,73000000,73000000,303000000,233000000.0,-5000000,-23000000.0,40460000.0,-3000000.0,10000000.0,
LPX,2018-12-31,94000000.0,273000000.0,346000000.0,128000000.0,1674000000.0,49000000.0,1287000000.0,1072000000.0,-146000000.0,4000000.0,262000000.0,878000000.0,80000000.0,-524000000.0,16000000.0,205000000.0,1613000000.0,6446000.0,153000000.0,2514000000.0,45000000.0,5050000.0,1700000000.0,814000000.0,458000000.0,29023000.0,65882000.0,,,-214000000.0,10000000.0,-6000000.0,3000000.0,-2000000.0,-74000000.0,21000000.0,123000000.0,511000000.0,-5000000.0,-212000000.0,-49000000.0,395000000,-400000.0,-317000000.0,-25000000.0,-238000000.0,-21000000,20187000.0,-45000000.0,395000000.0,399000000.0,-14000000,2084000000,2293000000,2828000000,122000000,-16000000.0,535000000,535000000,744000000,213000000.0,395000000,521000000.0,40460000.0,-4000000.0,10000000.0,
