stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest_x,capitalExpenditures,changeToNetincome,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome_x,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,otherCashflowsFromFinancingActivities,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome_y,incomeBeforeTax,researchDevelopment,minorityInterest_y,otherOperatingExpenses,discontinuedOperations
IVC,2020-03-31,90614000.0,119285000.0,165026000.0,142446000.0,-94616000.0,86000.0,376663000.0,88897000.0,-1377000.0,1057000.0,296582000.0,98932000.0,4260000.0,-106478000.0,372911000.0,67829000.0,87550000.0,3132000.0,9817000.0,869034000.0,23496000.0,552000.0,304512000.0,564522000.0,313623000.0,26217000.0,,,,-2121000.0,-7751000.0,1627000.0,-2930000.0,-414000.0,-2248000.0,5344000.0,-9839000.0,-1637000.0,-773000.0,18869000.0,732000,-18018000.0,20147000.0,21334000.0,10198000.0,7950000,,,,732000.0,732000.0,1582000,155452000,217190000,218440000,2100000,-6676000.0,1250000.0,1250000,62988000,61738000.0,732000,2832000.0,,,,
IVC,2019-12-31,88003000.0,121184000.0,219464000.0,140013000.0,-91334000.0,85000.0,355877000.0,92183000.0,3128000.0,928000.0,218657000.0,80063000.0,4131000.0,-101199000.0,373403000.0,66949000.0,87475000.0,2851000.0,9590000.0,852126000.0,21634000.0,602000.0,308516000.0,543610000.0,312650000.0,26447000.0,,,,-3697000.0,11446000.0,-27000.0,3293000.0,-411000.0,-741000.0,5763000.0,7475000.0,1494000.0,-34000.0,-4977000.0,-18683000,4640000.0,-9508000.0,-7785000.0,-4438000.0,-2377000,,,,-18683000.0,-18683000.0,-21822000,164952000,227797000,232913000,1977000,-7049000.0,5116000.0,5116000,67961000,62845000.0,-18683000,-16706000.0,,,,
IVC,2019-09-30,89736000.0,123069000.0,222281000.0,132920000.0,-80939000.0,86000.0,356777000.0,90818000.0,210000.0,701000.0,202199000.0,85040000.0,3306000.0,-104083000.0,371694000.0,67443000.0,106569000.0,4471000.0,9590000.0,847405000.0,21193000.0,112000.0,315479000.0,531926000.0,303403000.0,24724000.0,,,,-2856000.0,2451000.0,2588000.0,-599000.0,-415000.0,-32000.0,6263000.0,15121000.0,-1706000.0,-34000.0,-4471000.0,-8041000,4395000.0,-15007000.0,-14592000.0,-2879000.0,4665000,,,,-8041000.0,-8041000.0,-8470000,168189000,232045000,235774000,3300000,-6992000.0,3729000.0,3729000,67585000,63856000.0,-8041000,-4741000.0,,,,
IVC,2019-06-30,86051000.0,124686000.0,233435000.0,139827000.0,-71186000.0,86000.0,367977000.0,92825000.0,9771000.0,580000.0,193854000.0,89511000.0,3583000.0,-94522000.0,377551000.0,67211000.0,115025000.0,3972000.0,9590000.0,867583000.0,20666000.0,208000.0,331926000.0,535657000.0,301833000.0,25561000.0,,,,-2509000.0,1714000.0,-4622000.0,5360000.0,-411000.0,-20000.0,6394000.0,2735000.0,-894000.0,-479000.0,-2415000.0,-12717000,3638000.0,-1771000.0,-881000.0,-2485000.0,-1208000,,,,-12717000.0,-12717000.0,-7655000,170792000,238845000,235858000,2075000,-7721000.0,-2987000.0,-2987000,65066000,68053000.0,-12717000,-10642000.0,,,,
CSLT,2020-03-31,13299000.0,124686000.0,930000.0,38073000.0,67507000.0,86000.0,87019000.0,19157000.0,13000.0,580000.0,47209000.0,37681000.0,21917000.0,13000.0,41485000.0,1829000.0,-511377000.0,3972000.0,15000.0,180682000.0,13730000.0,18873000.0,120096000.0,60586000.0,631445000.0,11104000.0,6009000.0,1859000.0,,-1264000.0,54888000.0,-6676000.0,5360000.0,-411000.0,-20000.0,1535000.0,-14359000.0,-894000.0,-479000.0,-5336000.0,-56335000,-7190000.0,-124000.0,-465000.0,9147000.0,-3889000,341000.0,10411000.0,,-56335000.0,-56335000.0,-50037000,14473000,45343000,39045000,0,-7721000.0,-6298000.0,-6298000,24572000,17048000.0,-56335000,-56335000.0,13822000.0,,,
CSLT,2019-12-31,19596000.0,124686000.0,1395000.0,31397000.0,68911000.0,86000.0,95470000.0,18762000.0,2000.0,580000.0,54907000.0,43017000.0,24589000.0,2000.0,91785000.0,1785000.0,-455042000.0,3972000.0,15000.0,242784000.0,18768000.0,21429000.0,172874000.0,69910000.0,627899000.0,12178000.0,16411000.0,1859000.0,,-1241000.0,4558000.0,4045000.0,5360000.0,-411000.0,-20000.0,1552000.0,3992000.0,-894000.0,-479000.0,6977000.0,-11746000,774000.0,671000.0,-465000.0,2314000.0,-688000,1136000.0,3555000.0,,-11746000.0,-11746000.0,496000,16300000,48689000,36447000,0,-7721000.0,-12242000.0,-12242000,20147000,17902000.0,-11746000,-11746000.0,14487000.0,,,
CSLT,2019-09-30,11989000.0,124686000.0,1860000.0,35442000.0,75261000.0,86000.0,95971000.0,16669000.0,7000.0,580000.0,52111000.0,36040000.0,29115000.0,7000.0,91785000.0,1949000.0,-443296000.0,3972000.0,15000.0,246793000.0,17509000.0,25671000.0,180299000.0,66494000.0,623573000.0,13253000.0,19977000.0,1859000.0,,-119000.0,4321000.0,-2831000.0,5360000.0,-411000.0,-20000.0,1681000.0,-7436000.0,-894000.0,-479000.0,-14012000.0,-9336000,-2226000.0,-385000.0,-464000.0,-6191000.0,-2688000,79000.0,-6072000.0,,-9336000.0,-9336000.0,268000,14501000,45065000,35461000,0,-7721000.0,-9604000.0,-9604000,20960000,16269000.0,-9336000,-9336000.0,14295000.0,,,
CSLT,2019-06-30,11355000.0,124686000.0,2324000.0,32611000.0,80268000.0,86000.0,101987000.0,18247000.0,7000.0,580000.0,54303000.0,50052000.0,30597000.0,7000.0,91785000.0,1904000.0,-433960000.0,3972000.0,14000.0,257073000.0,20698000.0,27049000.0,186510000.0,70563000.0,620449000.0,14457000.0,13874000.0,1859000.0,,-389000.0,6068000.0,2088000.0,5360000.0,-411000.0,-20000.0,1343000.0,-1817000.0,-894000.0,-479000.0,-16286000.0,-8381000,-5875000.0,-300000.0,-465000.0,-14169000.0,-470000,165000.0,-13780000.0,,-8381000.0,-8381000.0,258000,14163000,44549000,35910000,0,-7721000.0,-8639000.0,-8639000,21747000,15899000.0,-8381000,-8381000.0,14487000.0,,,
LPX,2020-03-31,208000000.0,284000000.0,697000000.0,172000000.0,931000000.0,12000000.0,976000000.0,1029000000.0,-175000000.0,580000.0,214000000.0,488000000.0,62000000.0,-577000000.0,30000000.0,192000000.0,983000000.0,3972000.0,130000000.0,2132000000.0,4000000.0,27049000.0,984000000.0,1138000000.0,448000000.0,23000000.0,13874000.0,1859000.0,10000000.0,-24000000.0,-2000000.0,-31000000.0,-36000000.0,-16000000.0,-20000.0,28000000.0,-9000000.0,-3000000.0,-479000.0,293000000.0,33000000,-1000000.0,329000000.0,350000000.0,-24000000.0,-16000000,165000.0,-13780000.0,-5000000.0,33000000.0,33000000.0,-10000000,477000000,533000000,585000000,9000000,-6000000.0,52000000.0,52000000,108000000,56000000.0,33000000,42000000.0,14487000.0,10000000.0,,
LPX,2019-12-31,112000000.0,265000000.0,347000000.0,164000000.0,941000000.0,10000000.0,619000000.0,1072000000.0,-153000000.0,580000.0,244000000.0,181000000.0,84000000.0,-559000000.0,30000000.0,206000000.0,966000000.0,3972000.0,130000000.0,1835000000.0,17000000.0,27049000.0,991000000.0,834000000.0,454000000.0,20000000.0,13874000.0,1859000.0,10000000.0,-44000000.0,81000000.0,26000000.0,-10000000.0,-16000000.0,-20000.0,33000000.0,100000000.0,-3000000.0,-479000.0,-123000000.0,-51000000,4000000.0,-176000000.0,-3000000.0,-47000000.0,25000000,165000.0,-13780000.0,1000000.0,-51000000.0,-52000000.0,-91000000,467000000,524000000,537000000,-26000000,-3000000.0,13000000.0,13000000,70000000,58000000.0,-51000000,-78000000.0,14487000.0,10000000.0,,
